"Area.Abbreviation","Area.Code","Area","Item.Code","Item","Element.Code","Element","Unit","latitude","longitude","Year","Value","El_Nino_Year"
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1996",1383,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1997",1379,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1998",1287,TRUE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1999",1307,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2000",1276,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2001",1314,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2002",1422,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2003",1430,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2004",1319,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2005",1308,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2006",1369,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2007",1439,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2008",1568,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2009",1678,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2010",1649,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2011",1684,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2012",1602,FALSE
"AUS",10,"Australia",2511,"Wheat and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2013",1645,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1961",33,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1962",24,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1963",34,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1964",34,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1965",35,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1966",28,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1967",31,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1968",35,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1969",24,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1970",42,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1971",53,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1972",30,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1973",57,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1974",47,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1975",43,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1976",50,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1977",67,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1978",51,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1979",58,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1980",112,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1981",106,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1982",84,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1983",96,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1984",74,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1985",72,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1986",75,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1987",111,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1988",113,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1989",121,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1990",136,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1991",98,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1992",98,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1993",110,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1994",117,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1995",127,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1996",145,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1997",147,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1998",143,TRUE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y1999",154,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2000",169,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2001",183,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2002",194,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2003",197,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2004",202,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2005",205,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2006",206,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2007",210,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2008",247,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2009",251,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2010",260,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2011",248,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2012",243,FALSE
"AUS",10,"Australia",2805,"Rice (Milled Equivalent)",5142,"Food","1000 tonnes",-25.27,133.78,"Y2013",258,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1961",14,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1962",18,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1963",30,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1964",31,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1965",33,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1966",40,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1967",29,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1968",34,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1969",34,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1970",34,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1971",39,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1972",39,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1973",41,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1974",41,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1975",46,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1976",43,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1977",44,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1978",51,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1979",49,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1980",33,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1981",45,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1982",50,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1983",52,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1984",52,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1985",52,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1986",52,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1987",56,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1988",59,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1989",67,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1990",72,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1991",79,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1992",82,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1993",80,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1994",79,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1995",80,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1996",82,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1997",87,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1998",87,TRUE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1999",86,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2000",86,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2001",77,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2002",99,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2003",104,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2004",104,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2005",103,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2006",107,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2007",111,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2008",111,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2009",112,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2010",112,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2011",116,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2012",108,FALSE
"AUS",10,"Australia",2514,"Maize and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y2013",115,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1961",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1962",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1963",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1964",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1965",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1966",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1967",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1968",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1969",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1970",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1971",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1972",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1973",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1974",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1975",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1976",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1977",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1978",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1979",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1980",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1981",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1982",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1983",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1984",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1985",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1986",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1987",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1988",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1989",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1990",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1991",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1992",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1993",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1994",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1995",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1996",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1997",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1998",0,TRUE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y1999",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2000",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2001",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2002",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2003",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2004",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2005",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2006",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2007",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2008",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2009",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2010",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2011",0,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2012",1,FALSE
"AUS",10,"Australia",2520,"Cereals, Other",5142,"Food","1000 tonnes",-25.27,133.78,"Y2013",2,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1961",378,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1962",445,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1963",578,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1964",484,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1965",438,TRUE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1966",560,TRUE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1967",554,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1968",581,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1969",708,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1970",652,FALSE
"AUS",10,"Australia",2531,"Potatoes and products",5142,"Food","1000 tonnes",-25.27,133.78,"Y1971",680,FALSE
